sep=;
Quantity;Partname;Value;Package
1; C1; 100n; C0201
1; CON; DF12-20DS; DF12-20DS
1; IC1; LM317MBSTT3; SOT223
1; ISP1; TSM-105-04-T-DV; 2X05SMD
1; ISP2; TSM-103-04-T-DV; 2X03SMD
1; R1; 165k; R0201
1; R2; 100k; R0201
