sep=;
Quantity;Partname;Value;Package
1; C1; 100n; C0201
2; C2, C6; 4.7uF; C0805
1; CON; DF12-20DS; DF12-20DS
2; D1, D2; RED; CHIP-LED0603
1; IC1; LM317MBSTT3; SOT223
1; IC2; FT232RQ; QFN32
2; IC3, IC4; MCP73831T-2ATI/OT; SOT23-5
1; R1; 165k; R0201
1; R2; 100k; R0201
2; R3, R9; 130R; R0201
2; R4, R15; 2K2; R0201
